编号,大类编号,大类,小类编号,小类标题
"=""07001""","=""07""",询问如何办理某些业务,"=""001""",业务取消退订类：询问流量包、宽带、副卡、会员等各类服务的取消操作
"=""07002""","=""07""",询问如何办理某些业务,"=""002""",号码相关办理类：询问号码注销及其他号码办理的具体流程
"=""07003""","=""07""",询问如何办理某些业务,"=""003""",费用与返还类：询问话费返还操作、计算方式及费用扣除方式
"=""07004""","=""07""",询问如何办理某些业务,"=""004""",绑定与解绑类：询问号码绑定、合同解绑的具体操作
"=""07005""","=""07""",询问如何办理某些业务,"=""005""",活动与优惠类：询问活动办理、赠送话费操作及优惠实施方式
"=""07006""","=""07""",询问如何办理某些业务,"=""006""",会员与权益类：询问会员领取方式、会员长期开通后的扣费问题及电子会员开通是否收费
"=""07007""","=""07""",询问如何办理某些业务,"=""007""",支付与开通类：询问支付方式、漫游开通情况及功能激活等
"=""07008""","=""07""",询问如何办理某些业务,"=""008""",业务操作流程类：询问业务开通、网络刷新及服务专线操作步骤
"=""07009""","=""07""",询问如何办理某些业务,"=""009""",服务争议类：质疑未经同意开通增值业务、否认办理过帝王卡套餐、服务开通原因及转网操作
"=""07010""","=""07""",询问如何办理某些业务,"=""010""",操作流程疑问类：微信绑定号码的疑问及对返还活动的理解存在疑问
"=""07011""","=""07""",询问如何办理某些业务,"=""011""",操作困难类：因界面差异、短信问题导致的操作困难及业务流程不清
"=""07012""","=""07""",询问如何办理某些业务,"=""012""",号码信息查询类：主副卡的关联信息，含副卡权限、主卡套餐共享范围、号码状态同步等
