“序号”,“大分类”,大分类名称,“小分类”,小分类名称
“01001”,“01”,客户未有效接通,“001”,提示用户关机、不在服务区或无法接通
“01002”,“01”,客户未有效接通,“002”,停机类：号码因停机或欠费被停机，无法建立正常通话
“01003”,“01”,客户未有效接通,“003”,客户未说话直接挂机类：接通后客户不发声或简短应答即挂断
“01004”,“01”,客户未有效接通,“004”,转语音留言类：通话转入语音留言状态
“01005”,“01”,客户未有效接通,“005”,空号/错号类：拨打号码为空号或非目标客户
“01006”,“01”,客户未有效接通,“006”,系统提示或空白背景类：接通后只有系统播报或背景声，无客户有效回应
“01007”,“01”,客户未有效接通,“007”,客服多次呼叫无人应答类：客服连续“喂您好”呼叫，客户无任何回应
,,,,
“02001”,“02”,身份与号码信息问题,“001”,非机主本人接听类：接听者明确表示“不是机主/机主不在，无法代表机主做决策
“02002”,“02”,身份与号码信息问题,“002”,身份无法核实类：多次核对信息仍无法确认是否为目标用户，无法继续办理
“02003”,“02”,身份与号码信息问题,“003”,号码更换持有人类：号码已转由他人使用，与客户信息不符
“02004”,“02”,身份与号码信息问题,“004”,客户坚持不愿确认或透露身份信息类：客户拒绝提供身份信息或拒绝确认身份
,,,,
“03001”,“03”,联系时机不合适,“001”,开车类：客户正在驾驶车辆不便接听
“03002”,“03”,联系时机不合适,“002”,工作忙碌类：客户在上班或正忙，无暇沟通
“03003”,“03”,联系时机不合适,“003”,休息/不便接听类：客户在休息或环境不适合通话
“03004”,“03”,联系时机不合适,“004”,环境嘈杂类：通话环境噪音大影响沟通
“03005”,“03”,联系时机不合适,“005”,要求改时间类：客户要求另约时间再联系
,,,,
“04001”,“04”,通话质量问题,“001”,信号差类：通话信号不稳定、声音断续
“04002”,“04”,通话质量问题,“002”,听不清类：客户表示听不清对方讲话内容
“04003”,“04”,通话质量问题,“003”,杂音干扰类：通话有明显杂音或回声干扰
“04004”,“04”,通话质量问题,“004”,延迟卡顿类：通话存在延迟或声音卡顿现象
“04005”,“04”,通话质量问题,“005”,设备故障类：客户或客服设备问题导致通话中断
,,,,
“05001”,“05”,对短信或业务内容理解不足,“001”,未收到或未留意活动短信类：客户表示没看到或已删除相关短信
“05002”,“05”,对短信或业务内容理解不足,“002”,误以为垃圾短信类：客户将官方短信当作垃圾短信而忽略
“05003”,“05”,对短信或业务内容理解不足,“003”,未理解短信内容类：客户收到短信但不明白其中含义或要求
“05004”,“05”,对短信或业务内容理解不足,“004”,误解业务内容类：客户对活动或业务的含义产生误解
“05005”,“05”,对短信或业务内容理解不足,“005”,信息记忆错误类：客户混淆了短信内容或记错办理方式
“06001”,“05”,对短信或业务内容理解不足,“006”,业务内容不清楚类：对产品功能、适用范围、使用方式等提出大量疑问
,,,,
“06001”,“06”,客户不会操作或操作失误,“001”,客户不熟悉智能手机/应用操作类：不会回复短信或使用微信等
“06002”,“06”,客户不会操作或操作失误,“002”,操作错误类：客户回复短信或输入指令方式有误导致办理失败
“06003”,“06”,客户不会操作或操作失误,“003”,客户不清楚操作步骤类：客户在办理业务时不熟悉操作步骤或流程
,,,,
“07001”,“07”,客户无明确需求,“001”,无需求类：客户回答不用了，明确表示目前对该业务没有需求
“07002”,“07”,客户无明确需求,“002”,不感兴趣类：客户直接表示对活动内容不感兴趣
“07003”,“07”,客户无明确需求,“003”,用不到类：客户认为自己用不到相关服务或权益
“07004”,“07”,客户无明确需求,“004”,满足现状类：客户表示对当前套餐/服务已经满意无需更改
“07005”,“07”,客户无明确需求,“005”,已享有类似服务或有替代方案类：客户已有类似服务或可自行解决
,,,,
“08001”,“08”,客户顾虑资费问题,“001”,担心扣费类：客户担心此业务会产生额外费用扣款
